name,address,zipcode,latitude,longitude
BRONZEVILLE CONVENIENCE MART,450 E 43RD ST 1ST,60653,41.816785244,-87.614477427
GOLDEN FISH,4457 S COTTAGE GROVE AVE,60653,41.813322079,-87.606502588
H-DOGS,4655 S DR MARTIN LUTHER KING JR DR,60653,41.809567038,-87.616446776
MAGGIE GYROS & CHICKEN,349 E 47TH ST 1ST,60653,41.809256591,-87.617666276
FOOD XPRESS,3851 S MICHIGAN AVE 1ST,60653,41.824042754,-87.622946552
SAVEWAY FOOD,313 E 43RD ST,60653,41.816486325,-87.619196831
LEEN'S FOOD,330 E PERSHING RD 1ST,60653,41.823930553,-87.617910894
PIONEER GARDENS,3800 S DR MARTIN LUTHER KING JR DR 2,60653,41.825555998,-87.617178418
CHICAGO STEAK HOUSE,219 E 47TH ST 1ST,60653,41.80921386,-87.620308176
KENNEDY FISH CHICKEN AND GYROS,112 E 47TH ST,60653,41.809404844,-87.622301311
"KING SUPERMARKET, INC.",400 E 41ST ST,60653,41.8203495,-87.616514109
MCDONALDS,740 E 47TH ST,60653,41.809628698,-87.607369738
SIMPLY SOUPS SALADS & SANDWICHES,635 E 47TH ST,60653,41.809372191,-87.610145899
Peach's On 47th,4652 S DR MARTIN LUTHER KING JR DR 1ST,60653,41.809601484,-87.616741167
SUBWAY,1322 E 47TH ST 1ST,60653,41.809781935,-87.594138022
TRUTH,56 E PERSHING RD 1ST,60653,41.8238513,-87.62428782
"NEW YORK DELI, INC.",316 E 47TH ST 1ST,60653,41.809457736,-87.618832859
JUST TURKEY,4353 S COTTAGE GROVE AVE,60653,41.815253767,-87.606530329
ROME'S JOY CATERING INC.,4455 S DR MARTIN LUTHER KING JR DR,60653,41.813215318,-87.616549207
"TONY'S CARRYOUT, INC.",101 E 47TH ST,60653,41.809178675,-87.622751695
"KING SUPERMARKET, INC.",400 E 41ST ST,60653,41.8203495,-87.616514109
FUNG'S CHOP SUEY,1400 E 47TH DR  1E,60653,41.809795483,-87.592373867
DERICE ASIAN CUSINE,918-920 E 47TH ST,60653,41.809682416,-87.603165735
ONE STOP SHOP FOOD MART,4351 S COTTAGE GROVE AVE 1,60653,41.815313201,-87.606530195
BRONZEVILLE CONVENIENCE,100 E 47TH ST,60653,41.80939817,-87.62275732
UNCLE J'S,502 E 47TH ST ST,60653,41.809537173,-87.613720423
LAKE FRONT CITGO,437 E PERSHING RD 1,60653,41.823747833,-87.61529192
THE GAME,4310-4314 S PRAIRIE AVE 1,60653,41.816213466,-87.61992745
ONE STOP FOOD & LIQUOR STORE,4301-4323 S LAKE PARK AVE,60653,41.816865148,-87.598688844
ZALESKI & HORVATH MARKETCAFE,1126 E 47TH ST,60653,41.809736952,-87.598164563
"BIG BABA'S STEAK & LEMONADE, INC.",328 E PERSHING RD 1ST,60653,41.823929499,-87.617996921
ARISTO FOOD & LIQUOR,307-315 E 47TH ST,60653,41.809231631,-87.619258547
SUBWAY,749 E 47TH ST 1,60653,41.809415839,-87.606992899
Sip & Savor Bronzeville,528 E 43RD ST 1ST,60653,41.816815018,-87.612923081
200 LIQUORS,204 E 47TH ST 1ST,60653,41.809423894,-87.620951802
ZIAD CERTIFIED FOODS,513 E 47TH ST 1,60653,41.80932287,-87.613335521
CHINESE WOK,225 E 47TH ST 1,60653,41.809218778,-87.620034811
DUNKIN DONUTS / BASKIN ROBBINS,1400 E 47TH DR 1ST B,60653,41.809795483,-87.592373867
THE ABUNDANCE BAKERY,105 E 47TH ST 1,60653,41.809181294,-87.622569134
J J FISH & CHICKEN,201-209 E 43RD ST,60653,41.816455552,-87.621323476
UNCLE JOE'S JERK CHICKEN,4655 S DR MARTIN LUTHER KING JR DR 2ND,60653,41.809567038,-87.616446776
WOOD LAWN AMOCO,1158 E 47TH ST 1ST,60653,41.809750334,-87.596955553
YASSA AFRICAN RESTAURANT INC.,3511 S DR MARTIN LUTHER KING JR DR,60653,41.830657313,-87.616810526
CATCH 43 SHRIMP HOUSE INC.,4300 S MICHIGAN AVE 1ST,60653,41.816447072,-87.623175874
GYROS 47,350 E 47TH ST 1 1,60653,41.809477372,-87.61758854
BLACK PEARL CAFE,1060 E 47TH ST 1ST,60653,41.809722387,-87.599389183
ALICE'S BAR B QUE,65 E 43RD ST  1ST,60653,41.81641927,-87.623657335
ITALIAN FIESTA PIZZERIA INC,1400 E 47TH DR,60653,41.809795483,-87.592373867
PEARL'S PLACE,3901 S MICHIGAN AVE 1,60653,41.823649318,-87.623023792
THE ORIGINAL PANCAKE HOUSE,1358 E 47TH ST,60653,41.809794307,-87.592790418
ROOM FORTY THREE,1041-1043 E 43RD ST 1ST-BSMT,60653,41.816778686,-87.600256345
HONEY 1 BBQ,746 E 43RD ST,60653,41.81691326,-87.607297315
POPEYE' S FRIED CHICKEN,818 E 47TH ST 1ST,60653,41.809652533,-87.605747527
AINT SHE SWEET CAFE,526 E 43RD ST 1,60653,41.816813495,-87.613002308
NORMAN'S,1001-1003 E 43RD ST 1ST,60653,41.816761721,-87.601787319
DOLLAR GENERAL STORE # 13190,549 E PERSHING RD 1 1,60653,41.823773849,-87.613169375
FAMILY DOLLAR #6083,4425 S COTTAGE GROVE AVE,60653,41.814227073,-87.606523374
"SODEXO AMERICA, LLC",3663 S WABASH AVE,60653,41.827795928,-87.624751285
Walgreens #4519,1320 E 47TH ST 1ST,60653,41.809781151,-87.594212812
